user_id,book_id,age,browsing_time_sec,added_to_cart,book_genre,past_purchase_history,num_books_bought,avg_rating_given,will_buy
user_101,book_808,68,279,Yes,Sci-fi,Frequent,0,3.6,1
user_102,book_1362,65,77,No,Mystery,Frequent,2,3.1,0
user_103,book_1959,26,589,No,Non-fiction,Few,6,1.3,0
user_104,book_800,57,267,No,Fiction,None,14,2.1,0
user_105,book_485,64,480,No,Non-fiction,Few,12,2.0,0
user_106,book_1244,42,128,No,Fiction,Moderate,11,3.1,0
user_107,book_1271,44,306,No,Sci-fi,Frequent,1,3.5,0
user_108,book_2888,64,573,Yes,Sci-fi,None,0,1.3,1
user_109,book_1826,43,451,No,Romance,Frequent,12,3.7,1
user_110,book_1411,23,133,No,Sci-fi,Few,4,3.3,0
user_111,book_632,38,278,No,Sci-fi,Few,19,3.4,0
user_112,book_1588,26,87,No,Romance,Frequent,18,3.6,0
user_113,book_2541,39,420,No,Biography,Moderate,5,4.8,1
user_114,book_2057,25,578,Yes,Non-fiction,Few,7,2.3,1
user_115,book_314,61,455,No,Biography,None,18,2.3,0
user_116,book_1778,63,300,Yes,Fiction,Moderate,14,3.5,1
user_117,book_1691,39,538,No,Non-fiction,Moderate,9,1.4,1
user_118,book_152,18,103,No,Mystery,Frequent,5,3.3,0
user_119,book_197,40,55,No,Romance,Few,14,2.1,0
user_120,book_1974,53,160,No,Non-fiction,None,9,1.9,0
user_121,book_1653,61,329,No,Sci-fi,Frequent,17,3.5,1
user_122,book_817,59,381,No,History,Moderate,15,2.5,1
user_123,book_2797,41,35,Yes,Biography,None,4,4.8,1
user_124,book_2140,18,341,Yes,Mystery,Few,17,1.1,1
user_125,book_210,47,146,Yes,Mystery,Few,17,1.4,1
user_126,book_1922,35,256,No,Fantasy,None,8,4.8,0
user_127,book_1461,66,344,Yes,Sci-fi,None,18,4.9,1
user_128,book_2452,54,164,No,Fiction,Few,1,4.0,0
user_129,book_1773,56,329,No,Romance,Few,4,3.2,0
user_130,book_1246,30,472,No,Non-fiction,None,18,1.3,0
user_131,book_995,62,585,No,Non-fiction,None,16,1.4,0
user_132,book_2132,64,488,No,Biography,None,5,2.1,0
user_133,book_491,66,74,Yes,Sci-fi,Frequent,0,3.7,1
user_134,book_2241,42,517,No,Fantasy,Few,17,1.9,0
user_135,book_977,52,161,Yes,Romance,Moderate,19,1.5,1
user_136,book_2800,19,224,No,Fiction,Moderate,5,3.3,0
user_137,book_2170,47,278,No,History,Few,4,3.8,0
user_138,book_2133,32,559,No,Fantasy,None,14,3.7,0
user_139,book_1791,31,301,No,Fantasy,None,0,2.4,0
user_140,book_1341,43,438,No,Sci-fi,Few,19,3.5,0
user_141,book_2568,29,285,No,Sci-fi,None,19,4.6,0
user_142,book_1036,21,88,No,Fantasy,Frequent,1,4.5,0
user_143,book_1035,64,45,No,Fantasy,Moderate,10,3.3,0
user_144,book_1810,57,341,No,Biography,None,5,3.3,0
user_145,book_2039,53,98,Yes,Non-fiction,None,12,2.8,1
user_146,book_2429,42,507,Yes,Biography,Frequent,19,4.4,1
user_147,book_2894,29,144,No,Mystery,Moderate,7,2.7,0
user_148,book_838,31,412,No,Romance,Few,16,2.2,0
user_149,book_1523,50,291,No,Fiction,Moderate,18,3.1,0
user_150,book_909,49,205,No,Non-fiction,Few,2,1.7,0
user_151,book_587,34,534,No,Mystery,Few,4,1.1,0
user_152,book_837,23,325,No,History,Moderate,9,4.2,1
user_153,book_21,36,10,No,Fiction,Moderate,16,3.3,0
user_154,book_22,60,352,Yes,Romance,None,17,4.4,1
user_155,book_2974,48,346,No,Mystery,Moderate,1,2.2,0
user_156,book_1906,26,173,No,Non-fiction,Few,18,1.6,0
user_157,book_2309,23,248,No,Sci-fi,Frequent,7,4.7,1
user_158,book_1831,29,583,Yes,Fiction,Few,13,3.2,1
user_159,book_2878,68,120,No,Sci-fi,Frequent,10,4.6,1
user_160,book_778,56,403,No,Biography,None,1,4.7,0
user_161,book_1029,34,550,No,History,Few,6,3.2,0
user_162,book_2458,27,11,No,Biography,None,8,3.7,0
user_163,book_2595,50,470,No,Sci-fi,Moderate,5,4.3,1
user_164,book_1838,56,339,No,History,Moderate,8,2.3,1
user_165,book_1639,30,469,No,History,Frequent,10,4.7,1
user_166,book_712,50,166,No,Sci-fi,Moderate,14,2.8,0
user_167,book_627,55,408,No,Non-fiction,None,2,2.1,0
user_168,book_2376,41,35,No,Mystery,Frequent,16,1.5,0
user_169,book_2024,33,108,Yes,Sci-fi,Moderate,7,3.1,1
user_170,book_1549,51,528,No,Non-fiction,Few,3,1.7,0
user_171,book_117,25,184,No,Fantasy,None,0,3.6,0
user_172,book_1402,52,367,No,Mystery,Few,8,2.0,0
user_173,book_2155,60,276,No,History,Frequent,8,4.9,1
user_174,book_2169,25,287,No,Mystery,Frequent,9,1.5,0
user_175,book_2698,33,117,No,Non-fiction,None,2,2.6,0
user_176,book_579,58,268,Yes,Romance,Moderate,14,4.8,1
user_177,book_241,34,332,No,Fantasy,Moderate,1,1.5,0
user_178,book_1988,35,308,No,Fantasy,Few,5,1.8,0
user_179,book_2803,56,129,Yes,Non-fiction,Frequent,17,4.7,1
user_180,book_790,28,501,No,Romance,Few,5,3.8,0
user_181,book_1981,58,281,No,Romance,None,5,4.2,0
user_182,book_790,33,390,No,Sci-fi,None,1,2.8,0
user_183,book_2757,25,337,No,History,Moderate,11,1.8,1
user_184,book_2646,68,496,Yes,History,Frequent,8,4.7,1
user_185,book_1768,55,581,Yes,Fiction,Moderate,12,4.4,1
user_186,book_1556,28,336,No,Sci-fi,Moderate,4,1.5,0
user_187,book_1768,47,417,No,History,Moderate,10,1.3,1
user_188,book_986,44,419,No,Fantasy,None,17,1.4,0
user_189,book_2353,56,357,No,Fiction,Moderate,14,4.1,1
user_190,book_2125,26,44,Yes,Romance,Moderate,0,1.1,1
user_191,book_2581,43,589,No,Sci-fi,Few,19,4.2,1
user_192,book_2558,30,463,No,Sci-fi,Moderate,3,2.6,0
user_193,book_1967,47,435,No,Non-fiction,Few,12,4.7,1
user_194,book_1433,51,537,No,Fantasy,None,10,4.2,1
user_195,book_25,30,306,Yes,Biography,Moderate,13,2.8,1
user_196,book_710,50,196,No,Sci-fi,None,16,2.1,0
user_197,book_479,31,118,No,Biography,Few,1,4.0,0
user_198,book_732,36,77,No,History,None,18,2.7,0
user_199,book_1469,30,282,No,Mystery,None,15,2.7,0
user_200,book_1038,24,50,No,Non-fiction,Few,9,4.6,0
user_201,book_1724,38,512,No,Fiction,Moderate,2,2.5,0
user_202,book_297,63,212,No,Mystery,Moderate,8,3.3,0
user_203,book_2298,26,592,No,Romance,Frequent,9,3.5,1
user_204,book_2186,22,395,No,Sci-fi,Few,5,1.3,0
user_205,book_3,25,373,No,Mystery,Few,13,1.6,0
user_206,book_1275,35,440,No,Fiction,Few,15,4.2,1
user_207,book_2831,40,354,No,Mystery,Few,12,3.7,0
user_208,book_1102,25,212,No,Non-fiction,Few,15,2.1,0
user_209,book_2943,21,552,Yes,Sci-fi,None,12,3.1,1
user_210,book_1942,55,219,No,Non-fiction,None,3,3.9,0
user_211,book_1441,19,245,No,History,Frequent,6,1.8,0
user_212,book_161,30,218,No,Mystery,Few,9,2.6,0
user_213,book_744,66,251,Yes,Romance,Moderate,10,4.2,1
user_214,book_1875,66,427,No,History,Few,1,1.7,0
user_215,book_2234,59,362,No,Non-fiction,None,8,1.8,0
user_216,book_2620,19,392,No,Mystery,None,5,3.9,0
user_217,book_1487,60,481,Yes,Mystery,Frequent,10,4.2,1
user_218,book_2875,39,322,No,Sci-fi,Frequent,1,3.2,0
user_219,book_2915,68,84,No,Non-fiction,Moderate,15,3.2,0
user_220,book_1168,60,14,No,Non-fiction,None,6,2.7,0
user_221,book_1094,54,328,No,Mystery,Few,10,1.3,0
user_222,book_1466,63,88,No,History,None,2,3.6,0
user_223,book_2322,56,440,Yes,Romance,Moderate,18,2.8,1
user_224,book_697,34,147,Yes,Fantasy,Few,18,2.4,1
user_225,book_2102,53,226,No,Fantasy,None,17,2.8,0
user_226,book_2614,50,81,Yes,Sci-fi,Frequent,11,2.4,1
user_227,book_1185,52,368,No,History,Moderate,2,2.3,0
user_228,book_1865,50,280,No,Biography,Moderate,10,1.6,0
user_229,book_2101,67,593,No,Romance,Moderate,9,2.5,1
user_230,book_2554,51,332,No,Fantasy,Few,19,1.1,0
user_231,book_972,63,200,No,Sci-fi,None,18,3.6,0
user_232,book_341,69,559,Yes,Non-fiction,None,6,2.2,1
user_233,book_1559,65,208,No,Mystery,Frequent,7,1.4,0
user_234,book_1150,56,533,No,Fiction,Few,6,1.6,0
user_235,book_1632,24,503,No,Biography,Frequent,3,3.5,0
user_236,book_1555,66,179,No,History,Moderate,0,2.3,0
user_237,book_1315,24,63,No,History,None,6,2.1,0
user_238,book_2989,56,95,No,Biography,Few,12,1.5,0
user_239,book_494,21,520,No,Fiction,None,19,1.6,0
user_240,book_1057,55,539,Yes,History,Moderate,10,4.4,1
user_241,book_100,36,347,No,Non-fiction,None,7,1.1,0
user_242,book_594,19,42,No,Non-fiction,Few,0,2.9,0
user_243,book_2998,45,36,No,Biography,Frequent,3,4.7,0
user_244,book_886,69,259,No,Biography,Frequent,16,2.1,0
user_245,book_60,59,494,No,Sci-fi,Moderate,12,3.5,1
user_246,book_1784,29,73,Yes,Biography,Frequent,8,3.1,1
user_247,book_2839,54,30,No,Sci-fi,Few,5,3.5,0
user_248,book_1201,31,257,No,Fantasy,Moderate,3,1.1,0
user_249,book_1356,30,281,No,Fantasy,Frequent,4,3.0,0
user_250,book_104,22,225,No,Mystery,None,1,2.5,0
user_251,book_2229,27,233,Yes,Fiction,Frequent,7,1.4,1
user_252,book_629,62,532,No,Non-fiction,Few,4,3.5,0
user_253,book_826,41,489,No,Mystery,None,2,4.0,0
user_254,book_1124,56,219,Yes,Fiction,Frequent,17,2.6,1
user_255,book_1124,60,202,No,Fantasy,Moderate,9,3.1,0
user_256,book_429,46,562,No,Fiction,Frequent,5,3.1,0
user_257,book_995,60,69,No,Fiction,None,19,2.4,0
user_258,book_945,52,546,No,Mystery,Frequent,7,1.2,1
user_259,book_2879,28,430,Yes,Non-fiction,None,7,3.9,1
user_260,book_2864,46,25,Yes,Non-fiction,Frequent,8,2.7,1
user_261,book_2044,35,535,Yes,Non-fiction,Moderate,15,3.6,1
user_262,book_2261,53,257,No,Fiction,Frequent,6,3.9,0
user_263,book_855,41,210,No,Non-fiction,None,19,4.9,0
user_264,book_1329,41,137,No,History,None,19,4.5,0
user_265,book_437,21,86,No,Biography,Moderate,17,4.8,1
user_266,book_497,25,80,No,Mystery,Few,11,3.1,0
user_267,book_2937,48,227,Yes,Biography,Few,4,4.7,1
user_268,book_49,69,583,No,Mystery,None,18,2.5,0
user_269,book_490,34,286,Yes,History,Few,3,2.8,0
user_270,book_1806,41,437,No,Non-fiction,Few,12,4.4,1
user_271,book_776,51,310,No,Fantasy,Moderate,12,2.7,1
user_272,book_256,22,222,No,History,Moderate,13,1.6,0
user_273,book_2721,66,592,No,Fantasy,Moderate,10,3.5,1
user_274,book_2578,69,458,No,Mystery,Few,11,1.3,0
user_275,book_1162,24,239,No,Fantasy,Frequent,5,3.8,0
user_276,book_2894,47,96,No,History,Few,10,2.3,0
user_277,book_1864,18,400,No,Fiction,Few,19,3.6,0
user_278,book_1491,67,490,Yes,Sci-fi,Moderate,6,4.7,1
user_279,book_2640,64,123,No,Fiction,None,4,3.8,0
user_280,book_2269,48,303,No,Non-fiction,Frequent,15,1.3,1
user_281,book_511,34,479,No,Biography,Moderate,3,2.8,0
user_282,book_1831,32,199,No,Biography,Moderate,12,4.1,1
user_283,book_611,46,210,Yes,Sci-fi,Frequent,10,4.8,1
user_284,book_322,45,24,No,Mystery,Moderate,13,2.5,0
user_285,book_1965,60,448,No,Biography,Few,10,1.8,0
user_286,book_2968,64,440,No,Non-fiction,Moderate,19,3.8,1
user_287,book_2720,56,30,No,Non-fiction,Moderate,13,4.1,1
user_288,book_1747,68,260,Yes,Biography,Few,7,2.7,1
user_289,book_1562,20,96,Yes,Fiction,None,16,4.4,1
user_290,book_1286,34,324,No,Biography,Moderate,16,4.7,1
user_291,book_619,65,311,No,Non-fiction,Moderate,17,3.2,1
user_292,book_1862,56,371,No,Biography,None,9,4.0,0
user_293,book_2377,38,265,No,Non-fiction,None,19,4.1,0
user_294,book_567,19,565,Yes,History,Moderate,2,1.4,1
user_295,book_2555,31,492,No,Biography,Frequent,2,3.5,0
user_296,book_2650,35,342,No,Fantasy,Moderate,18,1.4,1
user_297,book_2441,26,376,Yes,Biography,Few,16,4.5,1
user_298,book_1342,63,41,No,Fiction,Moderate,14,4.1,1
user_299,book_1923,64,211,No,Mystery,None,12,3.6,0
user_300,book_513,47,89,Yes,Biography,Few,17,3.9,1
user_301,book_2092,43,26,No,Fantasy,Frequent,14,4.4,1
user_302,book_1294,36,373,No,Fantasy,Frequent,5,1.2,0
user_303,book_2868,53,198,Yes,Non-fiction,Frequent,13,1.7,1
user_304,book_2109,59,169,No,Romance,Moderate,18,4.1,1
user_305,book_1553,49,160,No,Romance,None,15,3.3,0
user_306,book_2411,47,505,No,Fantasy,Few,13,2.2,0
user_307,book_2383,40,220,No,Sci-fi,Few,8,2.7,0
user_308,book_286,21,375,No,Fiction,Few,14,3.3,0
user_309,book_2640,53,215,No,Fantasy,Moderate,16,3.4,0
user_310,book_2515,41,81,No,Sci-fi,None,14,3.5,0
user_311,book_2030,56,444,Yes,Sci-fi,Moderate,12,3.6,1
user_312,book_2504,20,575,No,Sci-fi,None,4,3.9,0
user_313,book_1836,65,505,Yes,Sci-fi,Few,8,4.7,1
user_314,book_1550,55,297,No,Biography,Frequent,13,4.3,1
user_315,book_142,55,536,No,Fantasy,Few,17,3.5,0
user_316,book_2897,52,491,No,Fantasy,Moderate,9,3.1,1
user_317,book_2358,28,51,No,Non-fiction,Few,16,2.2,0
user_318,book_2510,61,526,Yes,Biography,Few,1,2.8,1
user_319,book_283,26,321,No,Mystery,Frequent,3,4.4,1
user_320,book_2791,23,176,No,Sci-fi,Frequent,13,3.8,0
user_321,book_1143,68,295,No,Fantasy,None,12,2.7,0
user_322,book_1263,50,587,No,History,Frequent,11,1.3,1
user_323,book_1440,49,212,No,Non-fiction,Moderate,10,4.8,1
user_324,book_2346,28,71,No,Sci-fi,Moderate,5,1.6,0
user_325,book_1616,24,501,No,Romance,Moderate,19,3.7,1
user_326,book_1499,24,354,No,Non-fiction,Frequent,8,4.9,1
user_327,book_718,58,126,Yes,Non-fiction,None,13,4.3,1
user_328,book_1061,62,406,No,Non-fiction,Frequent,19,1.1,1
user_329,book_2325,21,168,No,Mystery,None,18,4.1,0
user_330,book_2398,61,473,No,History,Moderate,5,4.5,1
user_331,book_1295,46,140,Yes,Biography,None,6,1.2,1
user_332,book_245,49,465,No,Sci-fi,Frequent,3,3.8,0
user_333,book_2668,55,22,Yes,Sci-fi,None,2,1.5,0
user_334,book_1074,34,491,No,Non-fiction,Moderate,9,2.8,1
user_335,book_1447,56,581,No,Fiction,Few,6,4.3,1
user_336,book_1189,59,338,No,Mystery,Few,6,2.3,0
user_337,book_569,66,84,No,Mystery,None,10,4.9,0
user_338,book_114,51,347,Yes,Mystery,Few,17,2.1,1
user_339,book_248,27,316,No,Romance,Few,9,3.7,0
user_340,book_347,41,51,No,Non-fiction,None,9,3.0,0
user_341,book_1691,57,468,No,Romance,Few,2,3.6,0
user_342,book_2251,26,118,No,Non-fiction,Moderate,17,2.0,0
user_343,book_1009,57,141,Yes,Fantasy,Few,11,3.9,1
user_344,book_1094,42,285,Yes,Biography,Few,11,2.0,1
user_345,book_2456,64,472,Yes,Sci-fi,None,18,2.1,1
user_346,book_1801,56,319,Yes,Sci-fi,None,12,3.2,1
user_347,book_767,19,208,No,Sci-fi,Few,0,1.9,0
user_348,book_1334,41,111,No,Mystery,Frequent,13,1.8,0
user_349,book_2563,25,39,No,Biography,Frequent,17,4.9,1
user_350,book_1537,65,488,No,Mystery,Moderate,7,4.8,1
user_351,book_1450,41,470,No,History,Frequent,19,3.4,1
user_352,book_2044,68,90,Yes,Fantasy,Few,3,4.2,1
user_353,book_1903,48,175,Yes,Fiction,Moderate,11,2.7,1
user_354,book_2827,33,414,Yes,Romance,Frequent,10,4.0,1
user_355,book_2934,47,66,No,Fiction,Few,3,3.9,0
user_356,book_816,48,57,Yes,Non-fiction,None,0,2.5,0
user_357,book_1979,60,413,No,Mystery,Few,12,4.5,1
user_358,book_2028,26,471,No,Fiction,None,10,3.0,0
user_359,book_2350,40,142,No,History,None,0,1.9,0
user_360,book_440,55,548,No,Fantasy,Moderate,12,2.9,1
user_361,book_758,54,157,Yes,Non-fiction,Frequent,17,3.5,1
user_362,book_1884,20,189,No,Sci-fi,Moderate,19,3.0,0
user_363,book_2993,19,459,Yes,Fantasy,Moderate,7,4.6,1
user_364,book_1585,23,52,No,Romance,Frequent,11,1.3,0
user_365,book_1952,49,597,No,Non-fiction,None,7,1.8,0
user_366,book_1440,51,286,No,Mystery,Moderate,0,3.8,0
user_367,book_936,27,462,No,History,Few,2,4.3,0
user_368,book_2461,48,27,No,Fiction,Few,11,2.1,0
user_369,book_1787,45,259,Yes,Romance,None,7,2.0,1
user_370,book_1099,21,391,Yes,Fiction,Frequent,2,3.7,1
user_371,book_709,35,557,No,Fantasy,Moderate,9,2.7,1
user_372,book_2251,60,473,No,Non-fiction,Few,14,3.2,0
user_373,book_1259,41,517,Yes,Mystery,Frequent,11,3.1,1
user_374,book_1086,23,104,No,Romance,Few,1,2.5,0
user_375,book_683,19,499,No,Sci-fi,Moderate,13,3.8,1
user_376,book_2182,43,253,No,Mystery,Frequent,5,4.5,0
user_377,book_21,63,310,Yes,Biography,Moderate,12,3.4,1
user_378,book_1304,21,424,No,Fiction,Frequent,9,3.2,1
user_379,book_2880,30,78,No,Fiction,Frequent,9,1.6,0
user_380,book_967,66,229,No,Sci-fi,Frequent,3,4.2,0
user_381,book_104,42,481,Yes,History,Few,2,2.3,1
user_382,book_2630,21,563,No,Romance,Few,15,3.5,0
user_383,book_1940,22,20,No,Fiction,Few,9,2.6,0
user_384,book_2652,30,521,No,Sci-fi,Frequent,13,2.9,1
user_385,book_2794,31,133,No,Sci-fi,Moderate,17,4.4,1
user_386,book_1197,34,554,Yes,Biography,None,15,1.1,1
user_387,book_849,55,441,No,Fiction,Frequent,11,2.8,1
user_388,book_2787,42,29,No,Sci-fi,Moderate,18,2.6,0
user_389,book_2828,28,130,Yes,Romance,Moderate,11,2.4,1
user_390,book_957,57,255,Yes,Sci-fi,None,2,2.2,0
user_391,book_2178,19,21,Yes,Non-fiction,Frequent,13,4.7,1
user_392,book_1815,27,440,Yes,History,Frequent,16,1.6,1
user_393,book_1077,22,306,No,Biography,Few,9,4.7,1
user_394,book_2532,36,244,No,Non-fiction,Frequent,6,4.8,1
user_395,book_659,36,436,No,Romance,None,18,3.1,0
user_396,book_501,35,397,Yes,Sci-fi,Few,0,3.1,1
user_397,book_546,34,302,No,Fantasy,Moderate,0,2.1,0
user_398,book_155,25,244,No,Romance,None,12,1.8,0
user_399,book_552,19,502,No,Biography,None,12,2.2,0
user_400,book_1014,53,320,Yes,Sci-fi,Moderate,19,1.6,1
user_401,book_2916,47,516,Yes,Biography,None,6,1.3,1
user_402,book_1674,29,466,Yes,Sci-fi,Moderate,10,4.2,1
user_403,book_2961,26,291,No,Non-fiction,Few,18,1.2,0
user_404,book_406,36,17,No,Sci-fi,None,2,3.2,0
user_405,book_2538,36,587,Yes,Mystery,Frequent,2,3.7,1
user_406,book_2306,23,142,No,Fiction,Moderate,9,4.6,1
user_407,book_506,54,251,Yes,History,Moderate,15,2.7,1
user_408,book_290,67,257,No,Romance,Moderate,9,3.6,0
user_409,book_1949,44,140,No,Sci-fi,None,8,3.5,0
user_410,book_2292,50,339,No,Fantasy,Moderate,1,3.4,0
user_411,book_2405,28,103,No,Non-fiction,None,5,4.2,0
user_412,book_1764,39,538,Yes,Fantasy,None,6,3.0,1
user_413,book_1149,61,444,No,Sci-fi,Frequent,3,3.1,0
user_414,book_2411,45,56,No,History,None,16,2.2,0
user_415,book_2707,25,227,Yes,Mystery,Moderate,10,1.4,1
user_416,book_824,35,465,Yes,History,None,10,4.6,1
user_417,book_2380,68,335,No,Fantasy,None,17,2.6,0
user_418,book_712,62,329,No,Sci-fi,None,12,4.9,1
user_419,book_2059,68,244,No,Fantasy,Frequent,15,3.3,0
user_420,book_32,42,167,Yes,Non-fiction,Frequent,7,1.1,1
user_421,book_1183,38,369,No,Non-fiction,Frequent,14,3.8,1
user_422,book_1876,58,325,No,Non-fiction,Few,18,3.8,0
user_423,book_608,43,13,No,Non-fiction,Few,17,2.5,0
user_424,book_2337,58,454,Yes,Biography,Frequent,12,4.0,1
user_425,book_2381,56,490,No,Mystery,Moderate,10,4.6,1
user_426,book_2801,36,508,No,Fantasy,Moderate,10,1.2,1
user_427,book_2771,23,93,No,Fiction,Moderate,8,1.2,0
user_428,book_522,44,159,No,Sci-fi,Moderate,7,2.9,0
user_429,book_1454,36,32,No,Sci-fi,Few,3,1.6,0
user_430,book_633,67,40,No,History,Moderate,9,4.4,1
user_431,book_2394,23,13,No,Fiction,Frequent,7,1.9,0
